nama,area,rating,deskripsi,reviews,place_id,sentiment
Tahu Campur Cak Majid,Kemayoran,5.0,,Tempat yang strategis untuk makan sebelum lanjut ke aktivitas malam hari yang penuh gelora,ChIJm_135bj1aS4RiLDxC_l92Qs,positive
Warteg 24 Jam,Pancoran,1.0,,Mahal gak wajar,ChIJXxB3_aXzaS4ROq1fqmtY66I,negative
Rumah Makan Siang Malam,Duren Sawit,4.0,,"Menunya biasa saja, seperti masakan di panaskan ulang. Rendangnya asinnnn. Suasana biasa.",ChIJT6CsIkXzaS4RCn0bPjYzyQQ,neutral
Rumah Makan Fajar 79,Fatmawati,5.0,,"Pertama kali cobain salah satu chenese food yang ada di Jakarta Selatan, makanannya semua oke, apalagi gurame tahu tausinya, porsinya jumbo bisa untuk 3-4 orang. Pegawainya ramah Ownernya juga ramah sekali. Next time bakal mampir lagi...",ChIJMWxsxSDvaS4RUhZOuVcVKP4,positive
Teras by Plataran Dharmawangsa,Kemang,3.0,Menu klasik Indonesia dan pangsit disajikan di tempat nyaman berdinding panel dan karya seni tradisional.,"Sebagai brand hospitality yang dikenal membawa nilai keberlanjutan dan budaya Indonesia, saya berharap Plataran juga memperhatikan kesejahteraan ayam petelur dengan beralih ke telur cage-free. Sistem kandang sempit sangat membatasi perilaku alami ayam. Banyak perusahaan sudah berkomitmen cage-free, semoga Plataran segera menyusul.",ChIJ26DvRnHxaS4R_Z_iQtBnNTQ,neutral
MAGAL Citra 6,Kalideres,1.0,,"""Kedepannya bisa belajar melayani customer dengan baik""?? Belajar itu pas masih SEKOLAH  Gak usah belajar, mnimal mbak kasir mandiin dulu itu mas server nya udh setahun itu, dari dulu sampe skrg belom mandi tuh sama sekali.  Saya udh masukin komplenan semenjak 2024 tp ga ada progress apa2 sama sekali.",ChIJQRxOHbkDai4RJDZtb2rGYY4,negative
Bebek Goreng H.Slamet,Pesanggrahan,5.0,,"Niat nya mau makanan ala H.Slamet tapi disini vibe nya kafe banget. Kasirnya pun jadi 1 sama manajemen kafe. Dampaknya menu minum dihapus, harus pesen minum menu yang disediakan kafe. Jadi harga minumnya lumayan pricey. Kalo mau makan yang ala H. Slamet beneran dengan menu makan minum yang lebih lengkap mending di gerai lain. Soalnya menunya disini terbatas.",ChIJq5gBVUXwaS4RWKJsuf8j9ug,neutral
PANGANAN SAMBAL BAKAR,Koja,5.0,,Murah dan nyaman,ChIJ6fEfOQAfai4RHUMONuDJDsM,positive
Restoran TMR Ragunan,TB Simatupang,5.0,,👍👍👍👍👍 Es Campur & Mi Ayamnya enak lumayan habis jalan² seger + kenyang,ChIJFQ9o7fztaS4ReZnkuHvHXwg,positive
Sate Pancoran,Pancoran,2.0,"Sate, seafood & hidangan klasik Indonesia lainnya ditawarkan di tempat nyaman dengan tembok berlapis bambu.",Setelah lama ga makan Sate Pancoran akhirnya makan lagi.... tapi lokasinya berbeda. Mungkin terlalu tinggi ekspektasinya.... maka hari ini sungguh kecewa. Sate kambingnya lembut. Minta sambalnya 2 macam tapi diantar hanya satu (sambal kacang). Setelah minta lagi akhirnya diantar sambal kecap tapi pakai tempat sambal kecil. Sopnya kurang panas dan rasanya sedikit hambar. Dengan harga seperti itu kami berharap mendapat rasa dan kwalitas yang baik.... tapi ya sudahlah.,ChIJE_QPvEnyaS4RaCdTmPvgUl0,negative
Sri Rejeki Warung Nasi - Jl P. Antasari,Cilandak,5.0,,"Tempat bersih dan enak buat nongkrong,ruangan ber ac,makanannya jg enak,pelayannya jg sopan,harga standar.recommend deh pokoknya👍",ChIJyWl3lQDxaS4RQGR3XRylquM,positive
Lembur Sarerea | Pepes Ikan Mas Cianjur,Kramat Jati,4.0,,"Lembur Sararea, tempatnya lumayan dekat sama Bandara Halim Perdana Kusuma. Jadi kalau habis landing di Halim dan merasa lapar, tempat ini bisa jadi pilihan untuk mengisi perut sebelum Anda masuk angin. Tersedia menu prasmanan yang bisa dihangatkan ataupun menu masak langsung. Kalau anda terburu waktu, saran saya pesan menu prasmanan saja. Harga menunya antara affordable dan sedikit mahal, tapi tetap reasonable.",ChIJGyCyKOfyaS4RLEhPnsMYO8M,positive
Warteg Ibu Hj. Nina,Buaran,5.0,,Harga sesuai rasa pokoke mantaf dah gak nyesel,ChIJB19I6b-MaS4Rh4mpdlZrC4M,positive
KEDAI CIPTA RASA SLIPI,Palmerah,4.0,,"Harga2 murah. Aneka menu masakan. Ada goreng, ada bakar. Ada indomi nyemek, ada mie ayam. Rasanya sesuai. Cocok di lidah.  Air tehnya juga OK.",ChIJA3_B95b2aS4Rw2Rwi1qVYkU,positive
Restoran Sederhana Masakan Padang,Cakung,5.0,,"Sederhana memang dmna2 ga mengecewakan, Nasi telor dadar aja cukup bikin kenyang",ChIJo69xOGKLaS4RCVRrEA0FeIg,positive
THREE UNCLES,Kebon Jeruk,5.0,,"Menu claypot hanya baru ada 3 jenis, tp enak menu claypotnya, mantapp. Panas dan tidak gosong bagian bawahnya. Semoga bisa tambah varian menu claypot baru utk selanjutnya.  Ada 2 lantai, utk cabang jl.panjang tergolong kurang luas menurut saya. Lantai 2 yg agak mendingan.  Ada 1 karyawan mgkn itu supervisor atau koordinator karna hanya dia aja yg pakai baju lengan panjang dan sisa nya lengan pendek, ini orang sepertinya agak kurang senang gitu jika pelanggan pilih makan di lantai 2, ampe mengucap ; ""siapa yg suruh naik?"" mgkn ditujukan ke rekan nya tapi didpn pelanggan, kan kurang sopan menurut saya.  Overall makanan nya enak, hanya saja 1 orang itu aja yg kurang menyenangkan sikap dan raut wajah nya selama melayani tamu.",ChIJqe4TnTH3aS4RP2uiYNlt07g,positive
Soto Betawi H Maruf TIM,Menteng,5.0,,"nyaman, bersih, dan pas banget kalau lagi bawa anak ke sini, makan di soto h maruf TIM. ✨ kalau ga abis juga bisa dibungkus",ChIJ5Xn-3w_1aS4RckyYzDXyOWs,positive
LOKEI RESTO AND PRINTING,Johar Baru,5.0,,"Tembat bagus, makanan dan minuman enak",ChIJhYMTeIz1aS4RLvQAaZ9_5UM,positive
Gerobak Betawi Sunter,Sunter,4.0,,"Mencoba rumah makan yg banyak varian menu nya, tempatnya sangat nyaman dan pelayanan sigap, banyak makanan yg di rekomendasikan, seperti soto betawi daging oseng, untuk overall rasa masakan enak standart, tapi untuk soto Betawinya masih overprice dengan harga segitu, untuk pempek nya masih kurang kuat rasa ikan nya, malah lebih enak nasi kucing yg ada di dalam (ambil sendiri) walaupun dingin, harusnya ada opsi untuk dibakar dulu nasinya Untuk masukkan nya lebih baik buku menu dan menu sebanyak itu disertakan harga jual nya supaya mudah dalam memilih Untuk tempat saya terkesan, karena bersih dan nyaman suhunya",ChIJv_zmHn_1aS4Rox0avp0s928,positive
Thai Street Setiabudi one,Kuningan,5.0,,Pelayanannya bagus staffnya (mba anggun) ramah makanannya jugaa enakk 🤩,ChIJ9zLWDcfzaS4RYy_CJ_evMxM,positive
RM Mandailing Panyabungan,Jagakarsa,5.0,,"Makanan nya mantap surantap, ada toge panyabungan juga rindu kampung halaman terobati",ChIJ-VofpNPtaS4RSe_bQULi7wA,positive
Batavia 1000 Rasa,Kramat Jati,5.0,,Sungguh menyenangkan dalam kehidupan nyata,ChIJH4eNkXfzaS4R2jt5vrd5Qkk,positive
Taco Local,Blok M,1.0,,"Rasanya biasa aja, waitressnya ga jelas. Orderan salah mau di debatin. Table orang lain di dahuluin. Sejam buat 4 biji taco.",ChIJ2b5LI4HzaS4R6YXymCLQMe4,negative
Pizzeria Cavalese,Kelapa Gading Barat,5.0,"Kreasi pizza, pasta, dan hidangan klasik Italia disajikan di ruang kontemporer dengan dinding bata ekspos.","Restoran Italia favorit! Sudah beberapa kali ke sini dan selalu puas. Pelayanannya konsisten ramah dan cepat, walaupun menurutku ada pelayan yang cara bicaranya agak terlalu cepat 😄  Setiap ke sini hampir selalu pesan ravioli, karena cukup jarang ditemukan di tempat lain. Tingkat kematangan raviolinya pas, dengan bumbu yang melimpah tapi rasanya tetap balance dan tidak terlalu strong. Pizza-nya juga konsisten chewy dan selalu enak. Sempat coba menu Rosa Salmone dan ternyata sama enaknya dengan menu lainnya. Potongan salmonnya cukup besar dan pas dipadukan dengan pasta yang rasanya lebih light.  Ambience tempatnya juga oke, nyaman banget dan bikin betah berlama-lama. Bintang lima pokoknya ⭐️⭐️⭐️⭐️⭐️",ChIJfVA_4W_1aS4RJAo8lTgQFwg,positive
Warung Nasi Mas No,Palmerah,5.0,,"Harganya yang merakyat dan juga Jenis sayuran serta lauk yang bermacam2 itu yg menjadikan warung nasi Mas no ini luar biasa ,,Satu yg pasti pelayanan yg juga ramah ke semua pembeli...maju teruus dan sehat teruus buat kalian semua warung Mas no",ChIJORsaL8f2aS4RkWfFBdl9IP0,positive
KAMPONG RASA,Pademangan,5.0,,"Ayam Kalasan (8/10) ~ bumbunya meresap, dagingnya empuk, copot tulang Ayam Goreng Manis (8.5/10) ~ bumbunya meresap, dagingnya empuk, copot tulang Pindang Patin (7.5/10) ~ daging ikan patinnya fresh dan lembut, kuah pindangnya agak asin, bisa dibikin asem dikit biar makin segar Ikan Gurami Goreng (7.5/10) ~ ikannya fresh, tidak bau tanah Tahu Manis (8/10) ~ potongan terlalu kecil Tempe Manis (8/10) ~ potongannya terlalu tipis Terong Goreng (8/10) ~ terongnya muda dan bagus Ikan Asin Peda (7.5/10) ~ mungkin jenis pedanya berbeda, entah kenapa kurang wangi dan asin banget Sate Ampela (8/10) ~ ampelanya bersih dan empuk Telor Barendo (8.75/10) ~ ini salah satu menu yg wajib dipesan, renyah dan wangi. Cah Toge Polos (7/10) ~ kurang spesial karna disajikan dalam kondisi dingin Sate Ampela (7.5/10)  Di Kampong Rasa, kita bisa ambil sepuasnya lalapan (timun, daun kemangi, kol, selada). Juga bisa minta tambah sambal rampai sepuasnya.  Sambal rampainya sedikit keasinan, saran saya tambahkan air jeruk dan gula, biar lebih segar balance rasanya. Karena makanan sudah cenderung keasinan, jadi sambalnya jangan keasinan lagi. Moga bisa diperbaiki, agar jd makin sempurna.",ChIJfQtjIQD1aS4R4LZAoxMpv5U,positive
Sogogi Shabu & Grill Pondok Pinang,Pondok Indah,2.0,,"First time bakal nulis ulasan pjg lebar wkwk, semoga bisa bermanfaat dan bisa jadi evaluasi buat pihak Sogogi.  Plusnya : 1. Tempatnya strategis, parkir enak, keliatan  bgt dr pinggir jalan juga. 2. Tempatnya baru kayanya ya, jadi bersih banget 3. Karyawan nya banyak banget, bener2 numpuk. Jadi banyak lah yang bantu 4. Pas saya makan lg sepi sih, jd ga sumpek krn tmpt dine in nya sedikit, jd kalo rame pasti pengap. 5. Rekomendasi buat yg ambil pket premium bs coba yg marbling sm wagyu non fat, pling enk  Minusnya : 1. Dagingnya krg bervariasi, yg di display bener2 dikittt bgt saddd 2. Ngga bisa ambil paket yg grill nya doang (harus sm shabu) 3. Yg premium ngga di display, jd tiap mau refill harus minta tolong sm pelayannya. Cuman tiap refill lama bangett ambilnya, bisa 15 menit. Awalnya kirain mas-nya lupa tapi pas diingetin ktanya emg dagingnya masih di slice. Saya pikir emg pas saya pesen stock nya lg abis makanya di slice dulu, taunya tiap pesen selalu lagi di slice. Untuk makanan yang dikasih waktu begini, jujur merugikan bgt kalo tiap refill harus nunggu. Gatau ini bagian dari strategi apa gimana, tp pengalaman makan all u can eat sblmnya gapernah smpe begini. 4. Krn hrs pake shabu, akhirnya nyobain yg spicy miso. Menurut saya sih enak, tp gatau kenapa kok tiap abis makan kuahnya after taste nya kaya pait banget gitu, bikin ga nafsu huhu.. 5. Minumnya saya ambil yg orange juice (pilihannya ada 2, orange juice dan ocha). Tp orange juice nya ga manis, perbandingan sirup sama air nya jauh banyakan air jd ga berasa 6. Side dish nya jg krg greget sih, jamur crispy nya melempem, kangkung gorengnya krg jg.  So far untuk pertama kalinya ke Sogogi ini agak mengecewakan. Entah di cabang lain begini jg atau ngga. Semoga bisa diperbaiki.Krn untuk harga segini bersaing bgt loh dengan all you can eat lainnya. Semoga owner nya bisa lebih concern dan bisa diperbaikin kedepannya",ChIJs85VUGX3aS4RJ31qzps1ZaM,negative
JChicken Cempaka Putih,Johar Baru,5.0,,"Pertama kali lihat J Chicken langsung tertarik, tempatnya bersih dan terpampang menunya variatif.  Parkir luas, datang disambut hangat oleh staffnya. Pesan menu juga praktis tinggal qr langsung pilih menu dan payment online. Makanan juga cepet datengnya. Dari segi rasa makanan yang dipesan semuanya enak dan unik, harga juga affordable. Kalo ditanya bakal balik lagi sih ofcourse👌🏻",ChIJ5_ccZA_1aS4R5Mtv_fDJkiI,positive
Bubur Ayam Sukabumi 1 tebet,Pancoran,5.0,"Rumah makan nyaman yang menyajikan bubur, sup, dan nasi rumahan khas Indonesia di area simpel.","Salah satu rekomendasi tempat makan, khusus nya sarapan. Terdapat banyak sekali pilihan makanan dsini, pilihan bubur juga sangat variatif. Rasa buburnya lezat, dengan tambahan topping yang beraneka ragam. Ada pilihan sate pelengkapnya juga.  Lokasinya strategis di pinggir jalan, di jam tertentu kondisi sedikit ramai. Kursinya terdiri dari sofa-sofa jadi uda pasti nyaman duduk dsini. Tidak ada AC tapi kipas anginnya cukup kenceng dsini.  Cocok banget untuk nongkrong keluarga atau destinasi singgah sunmori.  Pelayanan -—- ⭐️⭐️⭐️⭐️⭐️ Kebersihan —- ⭐️⭐️⭐️⭐️⭐️ Kenyamanan - ⭐️⭐️⭐️⭐️  Di rekomendasikan reviewer: ☑️ Bubur Ayam.  Tidak rekomendasi: ➖ Jika perginya kesiangan, lumayan gerah dsini.  Overall: Recommended 💯",ChIJ1z-O3ZXzaS4RMuola3weEsI,positive
"HN Cafe Establish – Coffee Shop with Meeting Room, Nobar & WFC Tomang Jakarta Barat",Tanah Abang,3.0,,"The chicken strips are hard as a rock and tasteless😆  Chicken skin rasanya okk tapi berminyak bgt. Makan kulit sepotong bonus minum minyak seliter. 🙂‍↕️  Kita minta air mineral + ice 2 dan dikasih digelas, kita liat kakaknya nuang ke gelas dan masih ada sisa setengah botol, dia charge 2 botol air tapi kasih kita cuman 1 botol dibagi dua digelas wkwkwk, niat jualan apa nipu dah?  Pesen matcha ga keluar keluar, kayaknya lupa, kita biarin aja, karena dia ga inget dan haus akhirnya pesen ulang setelah sejam ga dateng. Rame juga kagak, ada pesenan lain juga kagak, sepi banget aja begini apalagi rame, huft.  Semua latte latte an nya rasanya kayak air telor, ga heran sih pake milk life soalnya, tapi kalo pake milk life mbok ya minuman nya jangan 40ribuan, agak gatau diri namanya itu. Harga bahan murah tapi jual latte nya kayak harga greenfield🤪 aku nyobain nya matcha latte, cappucino, caffe latte btw.",ChIJH2EfJgD3aS4RQTcFZyhFxEk,negative
Warung Bejho,Jatinegara,5.0,,"Tadi saya pesan ayam bakar 2 porsi. Rasa ayamnya enak, coba kalau nasi dan sup sayur asemnya hangat/panas ya, pasti lebih nendang makannya.  Ownernya baik dan ramah diajak ngobrol.  Pembayaran bisa pakai qris atau transfer. Tadinya mau pesan roti bakar 2 porsi, tapi sold out. Lain kali mau mampir beli robaknya😁",ChIJl7F7JXz0aS4Ru0AYC9nN8fg,positive
Warung Padang Yenny,Kebayoran Baru,5.0,,langganan di sini kalo dateng ke jakarta. TUNJANGNYA BEST BANGET WAJIB DIPESEN TIAP KE SINI,ChIJRdO6REDxaS4R8Am7A52OQuw,positive
Warung Nasi Ampera Jagakarsa,Jagakarsa,5.0,,"jujur pertama kali banget udh 3 tahun dijagakarsa makan kesini kebetulan temen aku anaknya lagi birthday, pas banget sama birthnya aku, yaudah sekalian dpt surprise, pelayanan oke, kebersihan oke makanan oke aku gak tau range harga ya soalnya dibayarin heheh  cocok banget untuk acara keluarga, arisan, atau lainnya,",ChIJbwR3KsTtaS4Rmv2mziyIOjA,positive
RA Gadang spaghetti,Tanjung Priok,5.0,,Spaghettinya enak banget dan harganya terjangkau,ChIJbbj1368fai4RBoPOjS8ghmI,positive
RM.KARYA BUNDO,Kemayoran,1.0,,Tolong di infokan buat karyawan yg rambutnya jabrik berkumis. Tolong biasain kalau lagi ngelayanin jangan bercanda !!! Masa makan dibuat bercandaan kurang pantes.  Kronologi :  Saya hari ini tanggal 26 april 2025 jam 11 beli beberapa bungkus dan dilayanin sama pegawai dan saat sedang dilayanin tiba-tiba pegawai yg rambutnya jabrik berkumis malah mengambil sayur ( saya ) yg sudah di pack oleh pegawai yg melayani saya dan bercanda dikala karya bundo sedang ramai. Yang seharusnya cepat menjadi sangat lambat karena memainkan sayur dengan diputar putar. Dan ini bukan kali pertama saya lihat pegawai itu ( berkumis ) bercanda. Bahkan pada saat saya dilayani malah terkesan meremehkan.  Saya dan teman saya langganan disini dan semua pegawai bersikap normal dan baik hanya saja satu pegawai itu yg bikin kurang enak dan bukan saya saja yg bicara seperti ini ada ibu ibu samping saya juga bicara seperti itu.  Mohon diperbaiki lagi dan semoga bisa lebih profesional. Terima kasih,ChIJk0LvEJj1aS4RfBMW0Jz1qX0,negative
Soto Kudus Bintaro,Kembangan,5.0,,Satenya reccomended. Harga sate kisaran 5k - 7k.,ChIJ690mwGn3aS4ReasvMKCBYOU,positive
WARUNG SATE SOLO PAK AWAL CIJANTUNG,Pasar Rebo,3.0,,"Pak,tolong di ganti PP di semua apk pesan makanan,saya pesan di online gofood,pesan tengkleng dan SOP daging sapi,tapi ya Allah gak ada daging nya pisan bahkan secuil pun gak ada,yang ada hanya isian kayak kulit2 tebal doang,harga padahal lumayan mahal loh,SOP nya udah ngebayangin mau makan enak ada daging nya lah ternyata sama Bae isian nya cuma kulit2 tebal bagian kaki hewannya kali, pertama kali pesan mah oke banget pas baru2 ada ni sate, tengkleng nya full daging ini lama2 kok cuma isi jeroan doang",ChIJxfQM5DLtaS4RFvm7Tyi3yVc,negative
Rumah Makan Takana Juo,Kebayoran Lama,5.0,,"Untuk harga yg lumayan miring rasa nyaa gak kalah sama yg merek ternama. Pelayanan nya bagus, apalagi uni nya ramah bgt minta tambah sambel dll dikasih banyak. Kalau datang jam makan siang pas weekdays rame banget, mending dateng setelah makan siang. Di applikasi grab, gojek juga udah ada tapi enakan beli langsung bisa request ini itu Mantaaapp pertahankan cita rasa nyaa 👍",ChIJbwfdo17xaS4RW96RDUSu27o,positive
Soto Betawi Babe Jamsari,Kebon Jeruk,5.0,,"sotomya gurih, enak tanpa harus bumbu2 apa, dagingnya juga enak kenyal tidak keras, cuma agak kendala parkir ya, mobil parkir di samping apartment",ChIJTSApDXz3aS4R9T4JaM31obU,positive
Rumah Makan Gardu Konghu,Taman Sari,5.0,,Harga murah rasa nya bintang 5 ini sudah menjadi langganan  pokoke gk kecewa deh. Masakan nya mantappp,ChIJMx4EjBX3aS4RBV4n015dF2U,positive
KALA di Kalijaga,Blok M,3.0,,"untuk tempat sebenernya oke banget, makanan masih sedikit variannya, rasa so so lah... Cuma sayang kebersihannya kurang apalagi di kawasan ini sebagian besar resto, kamar mandi masih kurang bersih kinclong dan tidak wangi, bau eek kucing di area depan twin, dan kolam depan twin kotor airnya udah smp ijo warnanya, kurang kanopi jadi banyak rontokan daun di area parkiran. sebaiknya ambil tenaga cleaning yang sudah expert di bidangnya.",ChIJkSYaNSDxaS4R2gTQTdsXVdI,neutral
Nasi Goreng WokHey (Next Kitchen),Matraman,4.0,,"Buat yang suka creamy food, ini enak. Porsi cukup kenyang, ga sedikit, ga banyak juga. Harga 20-30ribuan untuk makanan pastanya. Sepadan sama rasanya. Tp utk nasi-nasian 20sekian (hampir 30rb), porsi lumayan banyak sih. Boleh dibilang rasanya ga kalah sama resto. Minumannya juga lumayan. Tapi kalau untuk makanan creamy, baiknya pesan yang ada sodanya biar ga eneg. Pembayaran bisa cash atau qris.  Lokasinya nyempil di ujung gang buntu, sebelah kanan. Kalau motor bisa parkir di depannya, tapi kalau mobil parkirnya mending di luar gangnya. Karena banyak yang online food, jadi dine-in nya cuma cukup sekitar 5 spots aja.  Aku pribadi sih suka.",ChIJZYDK1Pv1aS4RcSYGg10bqe8,positive
Abunawas Restaurant - Matraman,Matraman,5.0,Restoran Timur Tengah klasik di tempat khusus acara yang indah dengan masakan rumahan.,"Dilayani awalnya oleh Mbak sapa gt, lalu dilanjut Mas Reza, pelayanan sangat baik, menjelaskan menu kepada kami berdua yg baru pertama makan di sini. Utk makanan, enak. Porsi makan cukup. Daging nya empuk, ga bandel hehe.. tempat bersih, nyaman. Hanya aksesnya karena sedang ada pembangunan di depan, jadi agak tersembunyi, semoga segera selesai ya pembangunan nya.",ChIJDX5Obmb0aS4R9ya0q2UUiKw,positive
Warung Pak DJ,Puri Indah,5.0,,"Buat penggemar Sate Taichan dgn sambel khas yang berbeda pastinya dari sambel taichan lainnya, kudu mampir dan test food disini yah.. Dijamin nagih...  Buat pecinta Pizza Tipis Garing boleh cobainnn jg, enakkk pokoknya No Debat yes..",ChIJ2S3lACj3aS4RxlHDnzGJwtM,positive
Smoking Barrels Atelier - Cilandak,Cilandak,5.0,,"Enak banget tehnya, sebagai yang suka cobain teh menurutku ini sangat informatif dan jujur jadi punya experience sendiri gitu disini. Disini tadi ada testing tea brew oleh kak Puspa, sangat informatif dan seru banget ❤️❤️❤️",ChIJYzW0mQvxaS4R68oK_z82AnE,positive
Ayam Bakar Arjuna,Cempaka Putih,4.0,,Ayam dan bebek bakar nya enak plus sambal pedes mantap yg bikin ketagihan.,ChIJ3Yf52wn1aS4RwNobXdSsikM,positive
Lamar Coffee and Eatery Gambir,Gambir,3.0,,"Kopi gula arennya lumayan, sate taichan lumayan rasanya sayang pesen nasi utk teman makan sate, dikasih nasi dingin dan keras. Oohh jd ga niqmatlah..",ChIJpeLp6lmTaS4RPUpt03rvcvA,neutral
Rumah Makan Padang Sutan Bungsu,Pesanggrahan,5.0,,Tempat makan enak.. tingkatkan lagi untuk rasa sambalnya,ChIJEwP_agDxaS4RNh4riJ0gBpY,positive
Riung Tenda,Pulo Gadung,5.0,"Restoran simpel yang khusus menyajikan ikan goreng, ayam, dan masakan tradisional lainnya.","Yang dipesen enak semua,  tapi es doger nya ga dapet ketan item nya, padahal digambar menu ada ketan item nya,",ChIJsXi-s5X0aS4RgjcEfklLYB4,positive
"Wee Nam Kee, Gandaria City",Kebayoran Lama,5.0,,"Selalu suka makan disini dengan menu andalan yang saya pesan adalah half chicken roasted. Untuk side-dish saya selalu pesan dumpling goreng, enak bener rasanya. Worth to try untuk nasi hainam disini. Plus, chili oil disini enak banget😍👌",ChIJnRENMVnxaS4RHt7502O5cnU,positive
Putu Made SPARK,Sudirman SCBD,4.0,,"Servisnya top! Pelayanan cepet bgt. Kebetulan lagi bawa bayi umur 1 tahun dan pesan air panas utk angetin makanan bayi. Terus ditawarin stafnya untuk dihangatkan di microwave mereka saja☺️ VIP room nya bersih dan dingin bgt, ga pengap, lgsg akses ke teras danau telaga senayan. Utk rasa makanan saya kemarin sayangnya bebeknya masih agak terasa ""tanah"" dan kerangnya agak kurang fresh. Semoga bisa jadi bahan evaluasi ya krn yg lainnya udah top bgt",ChIJeTThjsb3aS4RODFRV1xhXr0,positive
Yellowdokk Dufan Ancol,Ancol,5.0,,"tanggal 14 saya ke Dufan jajan di yelowdok ,topoki nya enak yg rose sama korndok nya enak ,pelayanan nya ramah 😊",ChIJDcAjEgAfai4RAQZHclx4U9g,positive
GREEN SEAFOOD,Penjaringan,5.0,,"tmpt makan yg enak dan murah menurut saya, saya sering makan di sini bersama keluarga, bnyk macam menu nya dan pelayanan nya pun sangat oke sekali",ChIJG2Onrogdai4RcpztyBZtWR0,positive
Warung Makan Kuningan Ibu Lusi,Pluit,5.0,,Samping jalan KA,ChIJK25Ae_Ydai4R_sUi5chIF1M,positive
